full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Michael Tutsie,Michael,Tutsie,26.0,,DB,DB,,,Active,38.0,71,189.0,North Dakota State,1.0,,2024-09-17
Montrel Meander,Montrel,Meander,27.0,,LB,"DB,LB",,,Active,41.0,74,215.0,Grambling State,4.0,Questionable,2024-09-17
Jamize Olawale,Jamize,Olawale,32.0,,FB,RB,,,Inactive,49.0,73,240.0,North Texas,10.0,,2024-09-17
Prince Amukamara,Prince,Amukamara,32.0,,DB,DB,,,Active,6.0,72,204.0,Nebraska,11.0,,2024-09-17
BenJarvus Green-Ellis,BenJarvus,Green-Ellis,36.0,,RB,RB,,,Inactive,42.0,71,220.0,Mississippi,14.0,,2024-09-17
Sione Takitaki,Sione,Takitaki,29.0,NE,LB,LB,LB,,Active,16.0,73,245.0,BYU,5.0,PUP,2024-09-17
Chukwuebuka Godrick,Chukwuebuka,Godrick,23.0,KC,OL,OL,,,Active,72.0,77,293.0,,1.0,,2024-09-17
Austin Allen,Austin,Allen,27.0,,QB,QB,,,Active,8.0,73,209.0,Arkansas,4.0,,2024-09-17
Kevin Norwood,Kevin,Norwood,30.0,,WR,WR,,,Injured Reserve,83.0,"6'2""",210.0,Alabama,6.0,,2024-09-17
Darryl Williams,Darryl,Williams,27.0,,OL,OL,,,Active,60.0,75,304.0,Mississippi State,4.0,,2024-09-17
Porter Wilson,Porter,Wilson,,,P,P,,,Active,,77,230.0,Duke,0.0,,2024-09-17
Cameron Nizialek,Cameron,Nizialek,27.0,,P,P,,,Active,4.0,74,200.0,Georgia,3.0,,2024-09-17
Sean Lissemore,Sean,Lissemore,33.0,,NT,DL,,,Inactive,98.0,"6'3""",303.0,William & Mary,10.0,,2024-09-17
